timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772302336064,45,0,47,135,true
1772302336064,42,0,44,135,true
1772302336065,47,0,49,135,true
1772302336064,23,0,25,136,true
1772302336064,46,0,48,135,true
1772302336064,16,0,18,136,true
1772302336064,1,0,3,136,true
1772302336064,12,0,14,136,true
1772302336064,6,0,8,135,true
1772302336065,22,0,24,135,true
1772302336064,48,0,50,135,true
1772302336064,11,0,13,135,true
1772302336064,24,0,26,136,true
1772302336064,13,0,15,136,true
1772302336065,34,0,36,136,true
1772302336064,5,0,7,136,true
1772302336064,32,0,34,135,true
1772302336064,21,0,23,135,true
1772302336065,27,0,29,135,true
1772302336064,2,0,2,136,true
1772302336166,10,0,12,238,true
1772302336166,14,0,16,237,true
1772302336166,29,0,31,237,true
1772302336166,39,0,41,237,true
1772302336166,36,0,38,237,true
1772302336166,20,0,22,238,true
1772302336166,40,0,42,237,true
1772302336166,8,0,11,238,true
1772302336167,0,0,1,238,true
1772302336167,44,0,46,238,true
1772302336167,25,0,27,238,true
1772302336167,18,0,20,238,true
1772302336167,49,0,4,239,true
1772302336167,43,0,45,238,true
1772302336167,26,0,28,238,true
1772302336167,7,0,9,239,true
1772302336170,15,0,17,241,true
1772302336170,31,0,33,241,true
1772302336170,38,0,40,241,true
1772302336170,37,0,39,241,true
1772302336268,35,0,37,339,true
1772302336268,33,0,35,339,true
1772302336268,4,0,6,339,true
1772302336268,19,0,21,339,true
1772302336268,41,0,43,339,true
1772302336268,28,0,30,339,true
1772302336268,17,0,19,339,true
1772302336268,30,0,32,339,true
1772302336268,9,0,10,340,true
1772302336268,23,1,54,198,true
1772302336268,3,0,5,340,true
1772302336268,1,1,57,199,true
1772302336268,12,1,58,199,true
1772302336269,6,1,59,199,true
1772302336269,47,1,53,199,true
1772302336269,22,1,60,199,true
1772302336274,16,1,56,204,true
1772302336274,48,1,61,204,true
1772302336274,11,1,62,204,true
1772302336274,24,1,63,204,true
1772302336371,40,1,77,204,true
1772302336371,14,1,72,204,true
1772302336371,39,1,74,205,true
1772302336371,10,1,71,205,true
1772302336371,45,1,51,302,true
1772302336372,27,1,69,301,true
1772302336372,32,1,67,301,true
1772302336372,46,1,55,302,true
1772302336372,29,1,73,205,true
1772302336372,42,1,52,302,true
1772302336372,36,1,75,205,true
1772302336372,2,1,70,302,true
1772302336372,21,1,68,302,true
1772302336372,34,1,65,302,true
1772302336372,13,1,64,302,true
1772302336373,5,1,66,302,true
1772302336377,8,1,78,210,true
1772302336377,20,1,76,210,true
1772302336377,0,1,79,210,true
1772302336377,44,1,80,210,true
1772302336477,25,1,81,310,true
1772302336478,43,1,84,310,true
1772302336478,37,1,90,307,true
1772302336478,33,1,92,210,true
1772302336478,17,1,97,209,true
1772302336478,28,1,96,210,true
1772302336478,9,1,99,209,true
1772302336478,18,1,82,311,true
1772302336478,26,1,85,311,true
1772302336479,49,1,83,311,true
1772302336479,7,1,86,311,true
1772302336479,15,1,87,308,true
1772302336479,4,1,93,211,true
1772302336479,31,1,88,309,true
1772302336479,41,1,95,211,true
1772302336479,35,1,91,211,true
1772302336479,38,1,89,309,true
1772302336479,19,1,94,211,true
1772302336480,30,1,98,211,true
1772302336480,23,2,100,211,true
1772302336582,47,2,105,313,true
1772302336582,45,2,115,210,true
1772302336582,48,2,108,308,true
1772302336583,14,2,112,211,true
1772302336583,22,2,106,313,true
1772302336583,12,2,103,314,true
1772302336583,11,2,109,308,true
1772302336583,24,2,110,308,true
1772302336583,40,2,111,212,true
1772302336583,1,2,102,315,true
1772302336583,6,2,104,314,true
1772302336584,10,2,114,212,true
1772302336584,3,1,101,315,true
1772302336584,16,2,107,309,true
1772302336584,39,2,113,212,true
1772302336585,32,2,117,213,true
1772302336585,29,2,119,213,true
1772302336585,46,2,118,213,true
1772302336585,27,2,116,213,true
1772302336585,36,2,121,213,true
1772302336687,44,2,130,310,true
1772302336687,8,2,127,310,true
1772302336687,33,2,134,209,true
1772302336687,42,2,120,315,true
1772302336687,5,2,126,314,true
1772302336687,43,2,132,209,true
1772302336688,13,2,125,315,true
1772302336688,21,2,123,315,true
1772302336688,34,2,124,315,true
1772302336688,2,2,122,315,true
1772302336688,28,2,136,209,true
1772302336688,17,2,135,209,true
1772302336688,0,2,129,311,true
1772302336688,37,2,133,210,true
1772302336688,20,2,128,311,true
1772302336688,9,2,137,210,true
1772302336688,25,2,131,210,true
1772302336689,18,2,138,210,true
1772302336690,26,2,139,211,true
1772302336690,49,2,140,211,true
1772302336792,22,3,155,209,true
1772302336792,41,2,145,312,true
1772302336792,38,2,147,312,true
1772302336792,11,3,157,209,true
1772302336792,48,3,153,209,true
1772302336792,47,3,151,210,true
1772302336793,24,3,158,209,true
1772302336793,23,3,150,312,true
1772302336793,12,3,156,209,true
1772302336793,1,3,160,209,true
1772302336793,45,3,152,210,true
1772302336793,30,2,149,313,true
1772302336793,31,2,144,313,true
1772302336793,19,2,148,313,true
1772302336793,40,3,159,210,true
1772302336793,7,2,141,314,true
1772302336793,15,2,142,314,true
1772302336793,14,3,154,210,true
1772302336794,35,2,146,314,true
1772302336794,4,2,143,314,true
1772302336897,32,3,166,312,true
1772302336897,10,3,162,313,true
1772302336898,16,3,164,313,true
1772302336898,3,2,163,313,true
1772302336898,29,3,167,312,true
1772302336898,46,3,168,312,true
1772302336898,6,3,161,314,true
1772302336898,39,3,165,314,true
1772302336898,27,3,169,312,true
1772302336898,36,3,170,312,true
1772302336899,33,3,173,212,true
1772302336899,13,3,177,211,true
1772302336899,43,3,176,211,true
1772302336899,5,3,175,211,true
1772302336900,8,3,172,212,true
1772302336900,21,3,178,211,true
1772302336900,44,3,171,212,true
1772302336900,34,3,179,211,true
1772302336900,42,3,174,212,true
1772302336900,2,3,180,212,true
1772302337003,28,3,181,314,true
1772302337003,0,3,183,314,true
1772302337003,9,3,186,314,true
1772302337003,18,3,188,314,true
1772302337003,12,4,199,210,true
1772302337003,47,4,196,210,true
1772302337003,37,3,184,315,true
1772302337003,26,3,189,312,true
1772302337003,38,3,193,211,true
1772302337003,22,4,191,211,true
1772302337004,25,3,187,315,true
1772302337004,20,3,185,315,true
1772302337004,49,3,190,313,true
1772302337004,17,3,182,315,true
1772302337004,11,4,194,211,true
1772302337004,41,3,192,211,true
1772302337004,23,4,198,211,true
1772302337004,1,4,200,211,true
1772302337005,24,4,197,212,true
1772302337005,48,4,195,212,true
1772302337108,30,3,202,315,true
1772302337108,45,4,201,315,true
1772302337108,40,4,205,314,true
1772302337108,19,3,204,315,true
1772302337108,14,4,208,314,true
1772302337108,31,3,203,315,true
1772302337108,7,3,206,315,true
1772302337109,15,3,207,315,true
1772302337109,35,3,209,315,true
1772302337109,10,4,212,212,true
1772302337109,4,3,210,315,true
1772302337110,16,4,213,211,true
1772302337110,32,4,211,212,true
1772302337110,3,3,214,212,true
1772302337110,36,4,220,211,true
1772302337110,46,4,216,212,true
1772302337110,6,4,217,212,true
1772302337110,29,4,215,212,true
1772302337110,27,4,219,212,true
1772302337110,39,4,218,212,true
1772302337211,13,4,222,311,true
1772302337211,34,4,228,310,true
1772302337211,44,4,227,311,true
1772302337211,0,4,232,207,true
1772302337211,33,4,221,311,true
1772302337211,28,4,231,208,true
1772302337211,8,4,225,311,true
1772302337211,21,4,226,311,true
1772302337211,42,4,229,311,true
1772302337212,9,4,233,208,true
1772302337212,2,4,230,311,true
1772302337212,43,4,223,312,true
1772302337212,5,4,224,312,true
1772302337212,18,4,234,209,true
1772302337213,12,5,235,209,true
1772302337213,47,5,236,209,true
1772302337216,38,4,239,212,true
1772302337216,26,4,238,212,true
1772302337216,37,4,237,212,true
1772302337216,22,5,240,212,true
1772302337313,41,4,246,308,true
1772302337314,30,4,251,205,true
1772302337314,14,5,255,205,true
1772302337314,25,4,241,310,true
1772302337315,45,5,252,206,true
1772302337315,1,5,248,310,true
1772302337315,23,5,247,310,true
